Diaphuong,Soluong,Date,New,Thang,Ngay
BINHDUONG,0,27-04-2021,0,4,27
DONGNAI,0,27-04-2021,0,4,27
DP.KHAC,0,27-04-2021,1,4,27
HANOI,0,27-04-2021,0,4,27
HOCHIMINH,0,27-04-2021,0,4,27
LONGAN,0,27-04-2021,0,4,27
BINHDUONG,0,28-04-2021,0,4,28
DONGNAI,0,28-04-2021,0,4,28
DP.KHAC,1,28-04-2021,0,4,28
HANOI,0,28-04-2021,0,4,28
HOCHIMINH,0,28-04-2021,0,4,28
BINHDUONG,0,01-05-2021,0,5,1
DONGNAI,0,01-05-2021,0,5,1
DP.KHAC,11,01-05-2021,2,5,1
HANOI,3,01-05-2021,0,5,1
HOCHIMINH,1,01-05-2021,0,5,1
LONGAN,0,01-05-2021,0,5,1
BINHDUONG,0,02-05-2021,0,5,2
DONGNAI,0,02-05-2021,0,5,2
DP.KHAC,14,02-05-2021,3,5,2
HANOI,3,02-05-2021,0,5,2
HOCHIMINH,1,02-05-2021,0,5,2
LONGAN,0,02-05-2021,0,5,2
BINHDUONG,0,03-05-2021,0,5,3
DONGNAI,0,03-05-2021,0,5,3
DP.KHAC,26,03-05-2021,12,5,3
HANOI,3,03-05-2021,0,5,3
HOCHIMINH,1,03-05-2021,0,5,3
LONGAN,0,03-05-2021,0,5,3
BINHDUONG,0,04-05-2021,0,5,4
DONGNAI,0,04-05-2021,0,5,4
DP.KHAC,32,04-05-2021,6,5,4
HANOI,4,04-05-2021,1,5,4
HOCHIMINH,1,04-05-2021,0,5,4
LONGAN,0,04-05-2021,0,5,4
BINHDUONG,0,05-05-2021,0,5,5
DONGNAI,1,05-05-2021,1,5,5
DP.KHAC,34,05-05-2021,2,5,5
HANOI,5,05-05-2021,1,5,5
HOCHIMINH,1,05-05-2021,0,5,5
LONGAN,0,05-05-2021,0,5,5
BINHDUONG,0,06-05-2021,0,5,6
DONGNAI,1,06-05-2021,0,5,6
DP.KHAC,68,06-05-2021,34,5,6
HANOI,48,06-05-2021,43,5,6
HOCHIMINH,1,06-05-2021,0,5,6
LONGAN,0,06-05-2021,0,5,6
BINHDUONG,0,07-05-2021,0,5,7
DONGNAI,1,07-05-2021,0,5,7
DP.KHAC,86,07-05-2021,18,5,7
HANOI,72,07-05-2021,24,5,7
HOCHIMINH,1,07-05-2021,0,5,7
LONGAN,0,07-05-2021,0,5,7
BINHDUONG,0,08-05-2021,0,5,8
DONGNAI,1,08-05-2021,0,5,8
DP.KHAC,142,08-05-2021,56,5,8
HANOI,98,08-05-2021,26,5,8
HOCHIMINH,1,08-05-2021,0,5,8
LONGAN,0,08-05-2021,0,5,8
BINHDUONG,0,09-05-2021,0,5,9
DONGNAI,1,09-05-2021,0,5,9
DP.KHAC,218,09-05-2021,76,5,9
HANOI,112,09-05-2021,14,5,9
HOCHIMINH,1,09-05-2021,0,5,9
LONGAN,0,09-05-2021,0,5,9
BINHDUONG,0,10-05-2021,0,5,10
DONGNAI,1,10-05-2021,0,5,10
DP.KHAC,311,10-05-2021,93,5,10
HANOI,147,10-05-2021,35,5,10
HOCHIMINH,1,10-05-2021,0,5,10
LONGAN,0,10-05-2021,0,5,10
BINHDUONG,0,11-05-2021,0,5,11
DONGNAI,1,11-05-2021,0,5,11
DP.KHAC,389,11-05-2021,78,5,11
HANOI,152,11-05-2021,5,5,11
HOCHIMINH,1,11-05-2021,0,5,11
LONGAN,0,11-05-2021,0,5,11
BINHDUONG,0,12-05-2021,0,5,12
DONGNAI,1,12-05-2021,0,5,12
DP.KHAC,451,12-05-2021,62,5,12
HANOI,166,12-05-2021,14,5,12
HOCHIMINH,1,12-05-2021,0,5,12
LONGAN,0,12-05-2021,0,5,12
BINHDUONG,0,13-05-2021,0,5,13
DONGNAI,2,13-05-2021,1,5,13
DP.KHAC,529,13-05-2021,78,5,13
HANOI,175,13-05-2021,9,5,13
HOCHIMINH,1,13-05-2021,0,5,13
LONGAN,0,13-05-2021,0,5,13
BINHDUONG,0,14-05-2021,0,5,14
DONGNAI,2,14-05-2021,0,5,14
DP.KHAC,599,14-05-2021,70,5,14
HANOI,201,14-05-2021,26,5,14
HOCHIMINH,1,14-05-2021,0,5,14
LONGAN,0,14-05-2021,0,5,14
BINHDUONG,0,15-05-2021,0,5,15
DONGNAI,2,15-05-2021,0,5,15
DP.KHAC,658,15-05-2021,59,5,15
HANOI,217,15-05-2021,16,5,15
HOCHIMINH,2,15-05-2021,1,5,15
LONGAN,0,15-05-2021,0,5,15
BINHDUONG,0,16-05-2021,0,5,16
DONGNAI,2,16-05-2021,0,5,16
DP.KHAC,939,16-05-2021,281,5,16
HANOI,227,16-05-2021,10,5,16
HOCHIMINH,2,16-05-2021,0,5,16
LONGAN,0,16-05-2021,0,5,16
BINHDUONG,0,17-05-2021,0,5,17
DONGNAI,2,17-05-2021,0,5,17
DP.KHAC,1051,17-05-2021,112,5,17
HANOI,233,17-05-2021,6,5,17
HOCHIMINH,2,17-05-2021,0,5,17
LONGAN,0,17-05-2021,0,5,17
BINHDUONG,0,18-05-2021,0,5,18
DONGNAI,2,18-05-2021,0,5,18
DP.KHAC,1186,18-05-2021,135,5,18
HANOI,253,18-05-2021,20,5,18
HOCHIMINH,3,18-05-2021,1,5,18
LONGAN,0,18-05-2021,0,5,18
BINHDUONG,0,19-05-2021,0,5,19
DONGNAI,2,19-05-2021,0,5,19
DP.KHAC,1277,19-05-2021,91,5,19
HANOI,264,19-05-2021,11,5,19
HOCHIMINH,5,19-05-2021,2,5,19
LONGAN,0,19-05-2021,0,5,19
BINHDUONG,0,20-05-2021,0,5,20
DONGNAI,2,20-05-2021,0,5,20
DP.KHAC,1460,20-05-2021,183,5,20
HANOI,270,20-05-2021,6,5,20
HOCHIMINH,12,20-05-2021,7,5,20
LONGAN,0,20-05-2021,0,5,20
BINHDUONG,0,21-05-2021,0,5,21
DONGNAI,2,21-05-2021,0,5,21
DP.KHAC,1576,21-05-2021,116,5,21
HANOI,273,21-05-2021,3,5,21
HOCHIMINH,12,21-05-2021,0,5,21
LONGAN,0,21-05-2021,0,5,21
BINHDUONG,0,22-05-2021,0,5,22
DONGNAI,2,22-05-2021,0,5,22
DP.KHAC,1710,22-05-2021,134,5,22
HANOI,285,22-05-2021,12,5,22
HOCHIMINH,12,22-05-2021,0,5,22
LONGAN,0,22-05-2021,0,5,22
BINHDUONG,0,23-05-2021,0,5,23
DONGNAI,3,23-05-2021,1,5,23
DP.KHAC,1840,23-05-2021,130,5,23
HANOI,292,23-05-2021,7,5,23
HOCHIMINH,12,23-05-2021,0,5,23
LONGAN,0,23-05-2021,0,5,23
BINHDUONG,0,24-05-2021,0,5,24
DONGNAI,3,24-05-2021,0,5,24
DP.KHAC,2001,24-05-2021,161,5,24
HANOI,319,24-05-2021,27,5,24
HOCHIMINH,13,24-05-2021,1,5,24
LONGAN,0,24-05-2021,0,5,24
BINHDUONG,0,25-05-2021,0,5,25
DONGNAI,3,25-05-2021,0,5,25
DP.KHAC,2420,25-05-2021,419,5,25
HANOI,340,25-05-2021,21,5,25
HOCHIMINH,14,25-05-2021,1,5,25
LONGAN,0,25-05-2021,0,5,25
BINHDUONG,0,26-05-2021,0,5,26
DONGNAI,3,26-05-2021,0,5,26
DP.KHAC,2640,26-05-2021,220,5,26
HANOI,356,26-05-2021,16,5,26
HOCHIMINH,14,26-05-2021,0,5,26
LONGAN,0,26-05-2021,0,5,26
BINHDUONG,0,27-05-2021,0,5,27
DONGNAI,3,27-05-2021,0,5,27
