Ngay,HCM,HaNoi,BinhDuong,LongAn,DongNai,Khac
27-04-2021,0,0,0,0,0,1
28-04-2021,0,0,0,0,0,0
29-04-2021,0,0,0,0,0,2
30-04-2021,1,3,0,0,0,7
01-05-2021,0,0,0,0,0,2
02-05-2021,0,0,0,0,0,3
03-05-2021,0,0,0,0,0,12
04-05-2021,0,1,0,0,0,6
05-05-2021,0,1,0,0,1,2
06-05-2021,0,43,0,0,0,34
07-05-2021,0,24,0,0,0,18
08-05-2021,0,26,0,0,0,56
09-05-2021,0,14,0,0,0,76
10-05-2021,0,35,0,0,0,93
11-05-2021,0,5,0,0,0,78
12-05-2021,0,14,0,0,0,62
13-05-2021,0,9,0,0,1,78
14-05-2021,0,26,0,0,0,70
15-05-2021,1,16,0,0,0,59
16-05-2021,0,10,0,0,0,281
17-05-2021,0,6,0,0,0,112
18-05-2021,1,20,0,0,0,135
19-05-2021,2,11,0,0,0,91
20-05-2021,7,6,0,0,0,183
21-05-2021,0,3,0,0,0,116
22-05-2021,0,12,0,0,0,134
23-05-2021,0,7,0,0,1,130
24-05-2021,1,27,0,0,0,161
25-05-2021,1,21,0,0,0,419
26-05-2021,0,16,0,0,0,220
27-05-2021,1,7,0,0,0,183
28-05-2021,61,5,0,1,0,227
29-05-2021,29,9,0,1,0,238
30-05-2021,10,20,0,1,0,171
31-05-2021,53,28,0,2,0,177
01-06-2021,71,2,0,3,0,186
02-06-2021,31,8,0,0,0,166
03-06-2021,30,6,0,2,0,214
04-06-2021,26,4,0,0,0,199
05-06-2021,31,2,0,0,0,208
06-06-2021,31,2,4,0,0,167
07-06-2021,46,2,1,0,0,165
08-06-2021,39,3,0,0,0,129
09-06-2021,40,6,0,0,0,337
10-06-2021,61,4,0,1,0,145
11-06-2021,48,6,0,0,0,132
12-06-2021,84,0,0,0,0,176
13-06-2021,95,2,1,0,0,184
14-06-2021,82,4,4,0,0,177
15-06-2021,90,1,12,0,0,295
16-06-2021,99,7,0,0,0,310
17-06-2021,137,3,7,0,0,356
18-06-2021,149,1,12,0,0,99
19-06-2021,104,1,30,6,2,297
20-06-2021,168,2,14,0,0,159
21-06-2021,166,4,21,0,0,77
22-06-2021,73,2,33,1,1,58
23-06-2021,154,0,23,5,0,35
24-06-2021,223,0,27,2,0,89
25-06-2021,724,1,30,22,0,72
26-06-2021,0,1,5,7,0,87
27-06-2021,163,2,36,7,0,121
28-06-2021,313,0,40,6,11,109
29-06-2021,112,0,0,12,4,154
30-06-2021,292,0,105,1,12,119
01-07-2021,464,1,90,28,0,115
02-07-2021,419,0,13,7,5,84
03-07-2021,714,0,38,2,32,130
04-07-2021,570,0,87,72,0,122
05-07-2021,670,0,131,15,1,282
06-07-2021,710,12,92,13,19,195
07-07-2021,1200,4,140,19,2,148
08-07-2021,481,5,55,0,0,252
09-07-2021,1229,2,73,77,32,200
10-07-2021,1320,7,140,33,37,332
11-07-2021,1397,7,234,46,0,249
12-07-2021,1764,29,128,0,82,362
13-07-2021,1797,8,186,130,12,165
14-07-2021,1637,6,0,0,80,499
15-07-2021,3283,18,195,41,170,389
16-07-2021,1071,6,53,0,72,455
17-07-2021,4761,15,237,134,107,763
18-07-2021,4083,49,345,89,147,586
19-07-2021,3074,44,503,37,154,378
20-07-2021,3322,40,578,46,162,632
21-07-2021,5132,43,964,196,185,571
22-07-2021,4473,50,679,496,195,635
23-07-2021,3094,69,608,402,217,882
24-07-2021,3328,19,785,980,221,3915
25-07-2021,2341,5,881,0,134,1231
26-07-2021,8226,85,1101,0,378,1018
27-07-2021,6318,24,166,47,239,1108
28-07-2021,4449,70,631,0,271,1022
29-07-2021,4592,59,1144,499,325,1074
30-07-2021,5340,144,1920,469,360,1435
31-07-2021,1445,46,2075,544,456,1209
01-08-2021,3704,81,2179,569,425,1249
02-08-2021,6289,160,949,445,380,1415
03-08-2021,4171,98,1606,566,364,1572
04-08-2021,3300,24,2143,427,389,1335
05-08-2021,3886,69,822,715,358,1388
06-08-2021,4060,114,1169,859,554,1538
07-08-2021,3930,12,882,367,709,1458
08-08-2021,3898,114,3210,724,614,1126
09-08-2021,3991,78,2887,287,538,1542
10-08-2021,3956,61,1325,890,732,1421
11-08-2021,3416,40,1897,963,979,1476
12-08-2021,3841,78,3028,354,1071,1262
13-08-2021,0,2,0,0,0,423
